fullvisitorId,total_visitor_transactions,visitId,visitNumber,uniqueid,newCustomer,eventName,transactions,exited,eventNumber,eventTimeStamp,pagePath,completedVisitId,firstCompleteEvent
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,Landing,1,0,1,"2022-11-02 17:01:00",/home,1500442011,10
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,search,2,0,2,"2022-11-02 17:01:01",/asearch.html,1500442011,10
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,basket,2,0,3,"2022-11-02 17:01:02",/basket.html,1500442011,10
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,home,2,0,4,"2022-11-02 17:01:03",/home,1500442011,10
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,productbrowse,2,0,5,"2022-11-02 17:01:04",/google+redesign/office/notebooks++journals,1500442011,10
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,singin,1,0,6,"2022-11-02 17:01:05",/signin.html,1500442011,10
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,yourinfo,1,0,7,"2022-11-02 17:01:06",/yourinfo.html,1500442011,10
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,payment,1,0,8,"2022-11-02 17:01:07",/payment.html,1500442011,10
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,revieworder,1,0,9,"2022-11-02 17:01:08",/revieworder.html,1500442011,10
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,ordercomplete,1,0,10,"2022-11-02 17:01:09",/ordercompleted.html,1500442011,10
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,Landing,1,0,1,"2022-11-02 17:01:00",/home,1501549997,11
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,productbrowse,8,0,2,"2022-11-02 17:01:01",/google+redesign/drinkware/mugs+and+cups,1501549997,11
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,basket,4,0,3,"2022-11-02 17:01:02",/basket.html,1501549997,11
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,singin,1,0,4,"2022-11-02 17:01:03",/signin.html,1501549997,11
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,register,1,0,5,"2022-11-02 17:01:04",/registersuccess.html,1501549997,11
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,store,5,0,6,"2022-11-02 17:01:05",/store.html,1501549997,11
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,productpage,2,0,7,"2022-11-02 17:01:06",/google+redesign/apparel/men+s+t+shirts/google+toddler+short+sleeve+tee+red.axd,1501549997,11
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,yourinfo,2,0,8,"2022-11-02 17:01:07",/yourinfo.html,1501549997,11
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,payment,2,0,9,"2022-11-02 17:01:08",/payment.html,1501549997,11
