fullvisitorId,total_visitor_transactions,visitId,visitNumber,uniqueid,newCustomer,featureSummary,eventName,transactions,exited,eventNumberDetailed,eventTimeStamp,eventNameDetailed,pagePath,completedVisitId,firstCompleteEvent
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,NULL,Landing,1,0,1,"2022-11-02 16:58:56"," Landing",/home,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,NULL,search,1,0,2,"2022-11-02 16:58:57"," search",/asearch.html,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,"search quickview",search,1,0,3,"2022-11-02 16:58:58"," searchsearch quickview",/asearch.html/quickview,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,NULL,basket,1,0,4,"2022-11-02 16:58:59"," basket",/basket.html,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,NULL,home,1,0,5,"2022-11-02 16:59:00"," home",/home,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,shopbycategory,productbrowse,1,0,6,"2022-11-02 16:59:01"," productbrowseshopbycategory",/google+redesign/office/notebooks++journals,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,quickview,productbrowse,1,0,7,"2022-11-02 16:59:02"," productbrowsequickview",/google+redesign/office/notebooks++journals/quickview,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,NULL,basket,1,0,8,"2022-11-02 16:59:03"," basket",/basket.html,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,NULL,singin,1,0,9,"2022-11-02 16:59:04"," singin",/signin.html,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,NULL,yourinfo,1,0,10,"2022-11-02 16:59:05"," yourinfo",/yourinfo.html,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,NULL,home,1,0,11,"2022-11-02 16:59:06"," home",/home,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,NULL,payment,1,0,12,"2022-11-02 16:59:07"," payment",/payment.html,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,NULL,revieworder,1,0,13,"2022-11-02 16:59:08"," revieworder",/revieworder.html,1500442011,14
0006911334202687206,1,1500442011,2,00069113342026872061500442011,0,NULL,ordercomplete,1,0,14,"2022-11-02 16:59:09"," ordercomplete",/ordercompleted.html,1500442011,14
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,NULL,Landing,1,0,1,"2022-11-02 16:58:56"," Landing",/home,1501549997,28
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,shopbycategory,productbrowse,1,0,2,"2022-11-02 16:58:57"," productbrowseshopbycategory",/google+redesign/drinkware/mugs+and+cups,1501549997,28
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,shopbycategory,productbrowse,1,0,3,"2022-11-02 16:58:58"," productbrowseshopbycategory",/google+redesign/bags/water+bottles+and+tumblers,1501549997,28
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,quickview,productbrowse,1,0,4,"2022-11-02 16:58:59"," productbrowsequickview",/google+redesign/bags/water+bottles+and+tumblers/quickview,1501549997,28
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,NULL,basket,1,0,5,"2022-11-02 16:59:00"," basket",/basket.html,1501549997,28
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,NULL,singin,1,0,6,"2022-11-02 16:59:01"," singin",/signin.html,1501549997,28
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,NULL,register,1,0,7,"2022-11-02 16:59:02"," register",/registersuccess.html,1501549997,28
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,NULL,store,1,0,8,"2022-11-02 16:59:03"," store",/store.html,1501549997,28
0010295111715775250,1,1501549997,3,00102951117157752501501549997,0,NULL,basket,1,0,9,"2022-11-02 16:59:04"," basket",/basket.html,1501549997,28
